idx,duration_s,reference,hypothesis,wer,cer,hits,substitutions,deletions,insertions,ref_tokens,rtf,skipped
0,1.86,ég er sammála því ég er sammála því,Ég er svona þið. Ég er svona þið.,75.0,64.29,2,6,0,0,8,4.6909,False
1,2.01,er erfitt að afbóka tíma eða,Er er við þáf búg að tímaða?,100.0,52.17,1,5,0,1,6,3.706,False
2,9.84,af hverju get ég ekki verið einn af þeim en á sama tíma það er sagt að þeir sem finna mest fyrir þessu fái mestu þarna já fá bestu vörnina,af hvernig ekki tí ekki verið eitthvað hún. Ég er ná samma tíma. Ég er sægt þessum fyrnna mest fyrir þessu fá mest því að því að því að því að því að því að því að því að því að því að því að því að því að því að því að því að því að því að því að því að því að því að því að því að því að því að því að því að því að því að því að því að því að því að þ,290.0,181.65,5,25,0,62,30,6.4643,False
3,10.71,nei maður þarf ekki að kunna að synda vel til þess að fara að kaffæra vinum sínum og pissa í laugina,Nei. Að maðar verð að ekki hann að sente að veldi. Það fara kað fara veinu sinnum. Það er uppeisilöjeno.,90.48,63.75,2,18,1,0,21,1.4801,False
4,0.24,já,Hjá.,100.0,100.0,0,1,0,0,1,16.9686,False
5,6.81,þetta er lítill minnihlutahópur örugglega ef hann er til sko,Það er lítilmennuðu þetta húbrir þúrlað. Ég vann eða því elsku.,100.0,66.67,1,9,0,1,10,1.668,False
6,0.6,bara æði,Það er þeir.,150.0,114.29,0,2,0,1,2,8.1612,False
7,1.41,ókei takk sömuleiðis bæ,OK. Takk svo líst. Bye.,125.0,80.0,0,4,0,1,4,4.0034,False
8,6.0,það er maður á deildinni minni sem er frá rúanda og hann er að kvarta yfir því að það sé of heitt hérna,Það er maðra dillðinni minnið sem ég frá róanta og hann er að klart í fyrir þið að ég svo að þeitina.,69.57,35.8,7,15,1,0,23,2.5343,False
9,0.54,já ókei,ég ok.,100.0,83.33,0,2,0,0,2,7.3987,False
10,2.22,margt smátt er gott sko,Mátt smátt er! Það skri!,80.0,57.89,1,4,0,0,5,3.1491,False
11,0.39,já,Yeah.,100.0,250.0,0,1,0,0,1,9.509,False
12,25.02,skilurðu sem hann fékk og hann átti að forrita tekur róbót já allavegana skiptir ekki öllu máli hann fékk allavegana svona hérna bíl vélknúin bíl og hérna hann var sem sagt látinn forrita fyrir hann og já hann og í kóðanum sem hann fékk þá var fallið reikna púls breidd í einu orði náttúrlega,"skilvöð sem að fjærk og hann að það forrðið það. Það er robot. Það er þannig. Skilvöð er þannig. Hann fjærk að hann að svona hérna bíl og svona vjelknún bíl og hérna, hann mað þess að sagt láttinnst forrðið það fyrir þann. Og hann og í kóðinn að mað svona fjærk það var fatlíð. Rækna puls breitt. Ég nórðinn að labið.",88.89,53.97,14,40,0,8,54,1.6946,False
13,0.63,skilurðu,Skilururururururururururururururururururururururururururururururururururururururururururururururururururururururururururururururururururururururururururururururururururururururururururururururururururururururururururururururururururururururururururururururururururururururururururururururururururururururururururururururururururururururururururururururururururururururururururururururururururururururururururururururururururururururururururururururur,100.0,5550.0,0,1,0,0,1,92.3213,False
14,0.39,já,Njó.,100.0,150.0,0,1,0,0,1,11.1373,False
15,3.0,það er star wars land þarna og ég veit ekki hvað sko,það er starvas lantan á þetta í kaskóa.,83.33,51.22,2,6,4,0,12,2.405,False
16,7.98,já og það er bara svo stutt síðan þetta var í gangi líka að það þetta er ennþá að hristast af eitthvað,"Já, og það er bara svo stjútt sien, eitthvað er í konki líka það, eitthvað að trænd það að sunnarið sast það að vekva.",72.73,54.32,8,14,0,2,22,2.5202,False
17,3.93,tekur þú eftir þessu eða þú bara svona bara ert svona góður í að hundsa þetta eða,Þegur eftir sem við bara svo góður í hundsida hef að.,76.47,52.31,4,7,6,0,17,3.4451,False
18,0.36,já jú jú,Jó.,100.0,100.0,0,1,2,0,3,16.6495,False
19,2.61,en svo getur maður alltaf náð í þetta aftur ef maður vill vera á þessu sko,En svo keð tú marað þann ádið afturum að við þess vera á sýsku.,81.25,55.93,3,11,2,0,16,7.3388,False
20,0.78,erum við að fara þangað,Það er og fara þakkar.,80.0,68.42,1,4,0,0,5,16.6975,False
21,0.78,við hver,Mjög þess.,100.0,114.29,0,2,0,0,2,10.8602,False
22,0.3,alright,Allright.,100.0,42.86,0,1,0,0,1,20.6016,False
23,17.19,svo fór ég líka í kópavogssundlaug með með barnabarnið elsta barnabarnið og hérna já og ég hef farið svolítið oft með hann þangað af því að honum finnst svo gaman að fara með ömmu þangað og renna í rennibrautinni og hann lét mig renna líka og svona,Þó fyrir líkki kópor og sýlgleg með batnabatn ég. Ælsta batnabatn ég og hérna... Já og ég er fara í sýlgðu oft með hann þangar. Það þeir það það það það það það hónur fyrir að gámarna fara með að með þangar og renni rennabretinu og að liet mér renna líka og svona.,82.98,48.02,14,33,0,6,47,4.4919,False
24,3.84,potato chips semsagt og já bara fólk á að borða snakk,"Potato chips, þessat. Það er bara svoðkað og bara snak.",90.91,48.84,1,9,1,0,11,4.6129,False
25,4.74,eruð þið með einhver svona plön eða eruð þið að hugsa ekki eruð þið að hugsa út fyrir landsteinana,Er því mækur sem að blunnaja? Er því að hugsa ekkið að hugsa ótt til landstelen?,78.95,53.75,4,12,3,0,19,5.4541,False
26,0.6,kaffi rauðka,Það fyrir öskur.,150.0,90.91,0,2,0,1,2,17.2696,False
27,0.27,já,Ég er.,200.0,250.0,0,1,0,1,1,27.3091,False
28,6.21,já um að gera maður um að gera líka bara ég meina spyrjið þið bara með alls konar húsgögn maður,"Nja, við mað gera mæður. Við mað gera líka bara, við mað spöriði bara með að áskuna úskak mæður.",75.0,43.42,5,14,1,0,20,2.7728,False
29,1.47,passar ekki ef þú byrjar á nýjasta,Passar ekki að býdjora nýarsta.,85.71,42.86,1,4,2,0,7,5.2732,False
30,1.56,já það er nú gott hjá henni,"Já, það er nóg kostjög henni.",71.43,42.86,2,4,1,0,7,4.2029,False
31,2.34,þetta er já þetta væri mjög næs,Þetta er að því að meðan að það.,100.0,72.0,1,6,0,1,7,3.27,False
32,13.35,og ef það en ef að þetta fer í blóð hringrásina þá getur það í svona rare caseum þú veist búið til svona storknun í blóði eða eitthvað út af því að þetta er svona prótein dæmi og sama og er í covid sko,En eða því þetta fyrir blóðriðingráð sinna það getara í sinna rér keisum. Því eða búði til sinn storkmunni blóðið. Það því þetta sinna búðiðinn. Það ég er í covidsku.,84.09,50.63,7,23,14,0,44,2.0977,False
33,1.53,þá er alveg bara liggur hann í sólbaði,Ílellellellellellellellellellellellellellellellellellellellellellellellellellellellellellellellellellellellellellellellellellellellellellellellellellellellellellellellellellellellellellellellellellellellellellellellellellellellellellellellellellellellellellellellellellellellellellellellellellellellellellellellellellellellellellellelle,100.0,1067.74,0,1,7,0,8,63.1387,False
34,3.42,en þetta er örugglega flott það er örugglega flott að sjá þú veist eldri hópana sérstaklega,Það er því að er því að er því að er því að er því að er því að er því að er því að er því að er því að er því að er því að er því að er því að er því að er því að er því að er því að er því að er því að er því að er því að er því að er því að er því að er því að er því að er því að er því að er því að er því að er því að er því að er því að er því að er því að er því a,681.25,303.95,3,13,0,96,16,22.6948,False
35,1.17,einhver svona söngleikjamynd,Það er ekkorsan sem klíkk að minn.,233.33,80.77,0,3,0,4,3,5.307,False
36,9.81,námskeið hérna í h r og hérna   hefur kennt það væntanlega í áraraðir,Það er að því. Það er því. Það er því. Það er því. Það er því. Það er því. Það er því. Það er því. Það er því. Það er því. Það er því. Það er því. Það er því. Það er því. Það er því. Það er því. Það er því. Það er því. Það er því. Það er því. Það er því. Það er því. Það er því. Það er því. Það er þv,584.62,363.64,0,13,0,63,13,8.7343,False
37,8.46,þannig að og það ég man sko þetta en mér fannst á þeim tíma að þú veist það var svolítið talað um hana svolítið eins og er talað síðan um lord of the rings þegar þær koma út,"Við fanns það þeim tíma. Það viss það það því tala um, hann að því tala eins í hann um. Låt þetta ringt þetta herkom út.",92.11,61.03,3,23,12,0,38,3.8585,False
38,2.28,já og það er,Það. Það það er.,75.0,88.89,1,3,0,0,4,4.3465,False
39,2.55,já ég er að fara í  hvað sjötta mitt á morgun,Það ég er friss. Það séhta mið þetta morgunn.,81.82,58.82,2,7,2,0,11,5.4048,False
40,2.58,það er ekki reyna bara gera,Það er gyrinn að bara gyrra.,66.67,50.0,2,4,0,0,6,4.1702,False
41,12.3,og  sv svo var svo fyndið líka út af því hún var bara geggjað brosandi allan tímann bara þú veist brosti út að eyrum og bara og bara geggjað nice sko ég var bara eitthvað að reyna að  halda aftur af mér að fara að gráta,Það þess að finn til að hún var bara kekka bróssan tætlán tíma bara úst bróstu tæðiðum og bara kekka nájsku og ég var bara rinn hálta aftirum en fyrir gráta.,80.43,55.23,9,22,15,0,46,2.8415,False
42,2.64,já já sjálfsákvörðunarrétturinn,"Já, ég er sjá sjá hvernar ég þeir.",266.67,68.97,0,3,0,5,3,4.5626,False
43,1.08,þú þekkir þessa ekki,Það ég er að stígi!,125.0,88.24,0,4,0,1,4,8.9347,False
44,3.96,já ég hlakka mjög mikið til líka það verður gott að hitta ykkur karlana,"Já, ég lag að mjög mjög í teilega. Það er góð það ég þegar. Það er góð það ég. Það er góð það ég. Það er góð það ég. Það er góð það ég. Það er góð það ég. Það er góð það ég. Það er góð það ég. Það er góð það ég. Það er góð það ég. Það er góð það ég. Það er góð það ég. Það er góð það ég. Það er góð það ég. Það er góð",564.29,356.9,3,11,0,68,14,17.8881,False
45,6.18,mér finnst rosalega gaman að heyra útlendinga reyna að bera fram mitt nafn til dæmis,Mjög finnst rósala gáman að heir að útlændingar reina bér að framittnald.,80.0,37.14,3,9,3,0,15,1.9045,False
46,3.27,já já,Það. Það. Það. Það. Það. Það. Það. Það. Það. Það. Það. Það. Það. Það. Það. Það. Það. Það. Það. Það. Það. Það. Það. Það. Það. Það. Það. Það. Það. Það. Það. Það. Það. Það. Það. Það. Það. Það. Það. Það. Það. Það. Það. Það. Það.,2250.0,4500.0,0,2,0,43,2,15.3945,False
47,3.54,einmitt alveg klárlega sko,ég með allu klallið aðsko.,125.0,65.22,0,4,0,1,4,1.5957,False
48,1.14,sýru rigning,Siðurriknik.,100.0,63.64,0,1,1,0,2,3.5598,False
49,7.29,er hann þá með þú veist einhvern svona þú veist fimmtíu metra fjarlægðar skynjara skilurðu í allar áttir eða,En að það með höst einhvertsuna þvíst 50-metra fyrirlega öskenniðararskjulur í allraftirða.,89.47,50.0,2,10,7,0,19,1.7306,False
50,4.83,já  bara einhver en þú verður að segja hringadróttinssaga sko þú mátt ekki segja lord of the rings,Það er að því að því að því að því að því að því að því að því að því að því að því að því að því að því að því að því að því að því að því að því að því að því að því að því að því að því að því að því að því að því að því að því að því að því að því að því að því að því að því að því að því að því að því að því,494.44,263.75,1,17,0,72,18,11.5025,False
51,1.26,kristján þarna kom það held ég,"Christian, hann að góð hann þeir.",100.0,76.0,0,6,0,0,6,5.11,False
52,2.25,ég er bara að  drepa þá fyrst þeir eru hérna,ég bara trepa á fyrst þegar eru hérna.,60.0,26.47,4,4,2,0,10,2.9154,False
53,6.18,þannið að bara gagngert flutti maður heim til þess að að eyða tíma með eldri kynslóðinni,Dan er bara gakkjert flytti mæð er heim til þess að eida tíma með eldrikinnsláni.,62.5,31.51,7,7,2,1,16,1.6766,False
54,6.84,já þannig að við erum ekki einkafyrirtæki eða að fá borgað fyrir það að þetta er bara til að hjálpa,Þannig er við erum ekki enka fyrir teikið að fað borga fyrir það. Það er bara til að hjálpa.,60.0,26.25,9,9,2,1,20,1.8495,False
55,0.72,já ég skil þig,"Já, eskæle.",100.0,63.64,0,2,2,0,4,6.3718,False
56,5.01,já það er kvótið,Það er því. Það er því. Það er því. Það er því. Það er því. Það er því. Það er því. Það er því. Það er því. Það er því. Það er því. Það er því. Það er því. Það er því. Það er því. Það er því. Það er því. Það er því. Það er því. Það er því. Það er því. Það er því. Það er því. Það er því. Það er því.,1850.0,1676.92,1,3,0,71,4,10.5746,False
57,4.05,ég veit það ekki ég er með svona sjúka fullkomnunaráráttu,Það hví þegi. Ég er mér svo sjuka fylkona náði.,100.0,58.33,0,10,0,0,10,2.1442,False
58,10.71,þetta er líka svo rosaleg dagskrá hjá þeim maður bara fljúga milli landa bara spila daginn eftir það er bara allur dagurinn fer í þetta það er engin pása,til líka svo rósalei tákskra hérmar. Én bara fliðu að meitleð landa að spila það einhvern eftir. Það bara áttleð það ég verið að einhvern engin pausa.,79.31,56.0,6,21,2,0,29,1.669,False
59,5.46,já það er þannig fyrst sko,Það er þannig férstskur.,66.67,33.33,2,2,2,0,6,0.9844,False
60,2.22,já var hann ekki í fíkniefnum líka,Það er þannig gifíklarvnum líga.,100.0,53.57,0,5,2,0,7,3.3508,False
61,12.24,já það er reyndar svolítið sniðugt,Það er hvernig það með stið svoðið snuð.,116.67,75.86,1,5,0,2,6,0.6376,False
62,3.15,þannig að hann verður gylltur en ekki ekki brunninn sko,þannig að hvern gildur. Þannig ekki brennennskóðan.,70.0,47.83,3,4,3,0,10,2.476,False
63,1.89,og það er alveg legit sko,Það er olheð letj ég tjú...,100.0,75.0,0,6,0,0,6,3.2077,False
64,5.31,já er ekki búið að selja er ekki búið að seljast upp,Já. Ég er eitthvað að selja. Ég er eitthvað að selja að stegir.,91.67,63.41,2,10,0,1,12,1.7112,False
65,2.19,en hérna já við fórum til parísar,Það er nája við fyrn til bara þess.,85.71,55.56,2,5,0,1,7,2.9566,False
66,0.81,en já,"En, yeah.",100.0,175.0,0,2,0,0,2,4.2127,False
67,2.28,og hvað gerum við þegar skúturnar verða rafvæddar,Það ég er við þegar skútutt nær verðar ávetar.,87.5,38.1,2,6,0,1,8,3.3333,False
68,1.14,ég ætla að þrífa,Ég er það tríða.,100.0,61.54,0,4,0,0,4,4.4877,False
69,1.8,hitt er að skilja einhvern svona,heitað að skilja hvernig svona.,66.67,37.04,2,3,1,0,6,3.0067,False
70,1.92,átti þetta ekki að vera fjölbreytt eða,Áttið þið þið kemur að fyrfbreitt það.,100.0,65.62,0,7,0,0,7,3.9412,False
71,2.28,já ég man ekkert eftir þessari sundlaug,"Jö, ég mann ekki þetta eftir þessur síndur.",85.71,45.45,2,5,0,1,7,3.2247,False
72,0.6,nei ókei ókei,Það er okra.,100.0,90.91,0,3,0,0,3,7.0472,False
73,0.42,ókei,OK.,100.0,100.0,0,1,0,0,1,7.6389,False
74,11.94,sko ég nefnilega veit það ekki já þú veist ég skil samt sko hvað þú meinar af því að þú veist ég náttúrulega var að vinna við að gera app þannig að þú veist það var svolítið mikið þarna þú veist human computer dóti,Ég er því að veita. Ég er því að veita. Ég er því að veita. Ég er því að veita. Ég er því að veita. Ég er því að veita. Ég er því að veita. Ég er því að veita. Ég er því að veita. Ég er því að veita. Ég er því að veita. Ég er því að veita. Ég er því að veita. Ég er því að veita. Ég er því að veita. Ég er því að veita. Ég er því að veita. Ég er því að veita. Ég er því að veita. Ég er því að veita. Ég er þv,222.73,135.09,5,39,0,59,44,4.5456,False
75,0.87,með mér,að proferm að með mér.,200.0,200.0,1,1,0,3,2,11.8514,False
76,1.05,ég hef ekki heyrt um þetta,Ég er að keðir því það.,100.0,76.19,0,6,0,0,6,10.8252,False
77,1.89,ég fíla þarna innisvæðið,Það er fyrir að það inni sræðið því.,200.0,80.95,0,4,0,4,4,8.3121,False
78,0.99,mjög sáttur,Mjög sáttir.,100.0,30.0,0,2,0,0,2,10.5777,False
79,0.78,algjörlega,Álfjöl á.,200.0,60.0,0,1,0,1,1,12.7296,False
80,6.21,já ókei,Það er. Það er. Það er. Það er. Það er. Það er. Það er. Það er. Það er. Það er. Það er. Það er. Það er. Það er. Það er. Það er. Það er. Það er. Það er. Það er. Það er. Það er. Það er. Það er. Það er. Það er. Það er. Það er. Það er. Það er. Það er. Það er. Það er. Það er. Það er. Það er. Það er. Þa,3750.0,3716.67,0,2,0,73,2,17.5793,False
81,7.65,þannig sem sagt hvernig svona hljóð og ritaður texti parast saman,hjóð og reitaður teksti pærast saman.,90.91,56.36,1,5,5,0,11,0.956,False
82,5.82,þá held ég að það sé sérstakur staður í helvíti fyrir fólk sem forritar á íslensku,það heldig að það sé stæður í helviti fyrir fólk sem forriðar á Íslandskur.,50.0,29.85,8,6,2,0,16,2.1555,False
83,1.26,talningin gæti verið skrýtin,Altað linkin gæðið verið skreytum.,100.0,48.0,1,3,0,1,4,7.2199,False
84,0.36,já,Það?,100.0,200.0,0,1,0,0,1,13.8512,False
85,12.06,minnir að ég hafi alla vega verið að  minni alla vega að ég hafi verið að ræða við hann um það þú veist að þú veist ég væri alltaf upp á þriðju hæð þannig hann gæti komið þangað og þú veist spurt mig að einhverju  og hann alveg já ég mun gera það geðveikt mikið,Það minnur því að vera að reiða veðan um það. Það er að vera að upp og fredig að þannig. Þannig að það kom að og misti spurt með að að gritt þér það það. Þannig að ég með gritt það að gritt með að mikið.,92.73,66.34,4,42,9,0,55,3.2534,False
86,0.39,já,Jó.,100.0,150.0,0,1,0,0,1,9.55,False
87,5.91,finna tíu sterka illa og vinna þeim öllum til að geta þarna náð aðal illa,finna tíju sterká ítlir og finna því mætlum til að geta ná áða ítla.,66.67,37.29,5,9,1,0,15,2.221,False
88,1.5,get mælt með þessu milljón sinnum,ég ekki eitthvað sem ég sem er ég sem er ég sem er ég sem er ég sem er ég sem er ég sem er ég sem er ég sem er ég sem er ég sem er ég sem er ég sem er ég sem er ég sem er ég sem er ég sem er ég sem er ég sem er ég sem er ég sem er ég sem er ég sem er ég sem er ég sem er ég sem er ég sem er ég sem er ég sem er ég sem er ég sem er ég sem er ég sem er ég sem er ég sem er ég sem er ég sem er ég sem er ég sem er ég sem er ég sem er ég sem er ég sem er ég sem er ég sem er ég sem er ég sem er ég sem er ég sem er ég sem er ég sem er ég sem er ég sem er ég sem,2750.0,1360.71,0,6,0,159,6,59.9495,False
89,0.9,alla vega í fyrsta lagi,Það það við fyrst að lei.,120.0,63.16,0,5,0,1,5,11.4187,False
90,26.7,sem var gott eiginlega eða svona þetta er svona maður er kominn það langt að maður þorir ekki að hætta nema maður fái einhverja ástæðu þegar maður er kominn á það hátt level að maður eitthvað svona vildi ekki bara hætta af því bara en ég var fegin að komast í bóklegt nám sko þetta er svo voðalega þarna einhvern veginn,sem er gott í það. Ég er svona. Ég er því að með að komin það að það. Það með þórur keð hæktaðn í um að fána hvera ástegðu. Ég er því að með að komin á það hátt lefvella með að er því að svona. Ég er því að bara hækta af því bara. En ég er því að komast í bóklíkk námskoð. Því að er svona að leið. Því að því að... Því að því að... Því að því að... Því að... Því að því að... Því að,119.67,66.8,17,44,0,29,61,3.4511,False
91,2.37,veistu hver hún var,Þetta er verðs.,100.0,75.0,0,3,1,0,4,3.1358,False
92,0.93,unk,Það er að kompændirir.,400.0,600.0,0,1,0,3,1,10.7907,False
93,20.67,já já þegar ég sá þetta í hérna í sjónvarpinu já voru rosalega fáir að í áhorfendasætunum en hérna en já,"Já, þegar þegar þegar þegar þetta í hérna Sjórsbynnið það út þá. Það var það rossla fáir af það í áhrönta tætunum. Það hérna... Það er hérna... Það er hérna... Það er hérna... Það er hérna... Það er hérna... Það er hérna... Það er hérna... Það er hérna... Það er hérna... Það er hérna... Það er hérna... Það er hérna... Það er hérna... Það er hérna... Það er hérna... Það er hérna... Það er hér",328.57,320.24,6,15,0,54,21,4.3407,False
94,12.9,já já og líka þegar maður er að ná svona  og fer inn í svona mold þá getur bara verið kalt þar inni,Já. Það er hvernig á líka eða sem er það hittu lennum að fyrir níð svona málfákit bara verið kastarinn.,86.96,63.16,5,13,5,2,23,2.0371,False
95,4.8,já já já það er miklu þægilegra að gera þetta svona,"Já, já, já, já. Það er... Það er þess að íðlega er að......kið er það svona.",136.36,92.68,1,10,0,5,11,4.1509,False
96,0.57,já,Þeil.,100.0,250.0,0,1,0,0,1,11.8931,False
97,1.71,er erfitt að afbóka,Það er veist að áspoka.,75.0,68.75,2,2,0,1,4,5.7304,False
98,0.84,já einmitt,"Já, ég mítu.",150.0,77.78,0,2,0,1,2,9.9751,False
99,34.26,þetta er þannig að þú ert hérna þú ferð semsagt í þessa sánu eða þú ferð í ísbaðið eða þú veist klakabaðið eða kuldabaðið þarna og síðan ferðu í sánu og sánan er risastór við erum að tala um þetta er stærsta sána sem ég hef farið í á ævinni og heill veggur er bara gluggi og þú veist gluggi með sko hérna þar með útsýnið er yfir hafið og þú sérð pínu hérna eldgosið,Ég er þannig að þú er því að þú er því að þú er því að þú er því að þú er því að þú er því að þú er því að þú er því að þú er því að þú er því að þú er því að þú er því að þú er því að þú er því að þú er því að þú er því að þú er því að þú er því að þú er því að þú er því að þú er því að þú er því að þú er því að þú er því að þú er því að þú er því að þú er því að sinneð er evir hafið og þú forkjert bynnu hérna allt gossi.,141.33,76.63,17,58,0,48,75,3.1137,False
